Feature Name,Theme,Sub Theme,latitude,longitude,source_dataset
Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7870161727156,144.961115214367,City of Melbourne - Landmarks and places of interest
Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8031480577285,144.965761295089,City of Melbourne - Landmarks and places of interest
Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,-37.8242456858593,144.979720306309,City of Melbourne - Landmarks and places of interest
Playhouse,Place Of Assembly,Theatre Live,-37.8218124583016,144.968337832721,City of Melbourne - Landmarks and places of interest
Victorian Arts Centre,Place Of Assembly,Art Gallery/Museum,-37.8219947335768,144.968837288153,City of Melbourne - Landmarks and places of interest
Central Pier,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8165177307702,144.943475014215,City of Melbourne - Landmarks and places of interest
NGV International,Community Use,Public Buildings,-37.8230135000869,144.969342535451,City of Melbourne - Landmarks and places of interest
Royal Botanic Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8306631583233,144.980850432751,City of Melbourne - Landmarks and places of interest
Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.81299206932,144.989062559512,City of Melbourne - Landmarks and places of interest
The Ian Potter Museum Of Art,Place Of Assembly,Art Gallery/Museum,-37.7973939595503,144.964156669702,City of Melbourne - Landmarks and places of interest
Parliament Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.809852620638,144.973462202839,City of Melbourne - Landmarks and places of interest
North Melbourne Recreation Centre (Gymnasium),Leisure/Recreation,Gymnasium/Health Club,-37.7997051197931,144.940368286395,City of Melbourne - Landmarks and places of interest
Conservatory,Community Use,Public Buildings,-37.814002127195,144.9785597431,City of Melbourne - Landmarks and places of interest
Koorie Heritage Trust Inc,Place Of Assembly,Art Gallery/Museum,-37.8133854259085,144.954027907736,City of Melbourne - Landmarks and places of interest
Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.7983318676737,144.971514146104,City of Melbourne - Landmarks and places of interest
Cooks' Cottage,Place Of Assembly,Art Gallery/Museum,-37.8144604899837,144.979471339826,City of Melbourne - Landmarks and places of interest
Royal Exhibition Building,Place Of Assembly,Art Gallery/Museum,-37.80460262432,144.971521914952,City of Melbourne - Landmarks and places of interest
Eureka Skydeck 88,Leisure/Recreation,Observation Tower/Wheel,-37.8216187583314,144.964622218598,City of Melbourne - Landmarks and places of interest
Old Melbourne Gaol Crime & Justice Experience,Place Of Assembly,Art Gallery/Museum,-37.8077644149636,144.965463853978,City of Melbourne - Landmarks and places of interest
Melbourne Exhibition Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8252455123297,144.95435243249,City of Melbourne - Landmarks and places of interest
MTC Theatre,Place Of Assembly,Theatre Live,-37.8242661832902,144.968174400274,City of Melbourne - Landmarks and places of interest
Shrine of Rembrance Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8320733992876,144.973628364465,City of Melbourne - Landmarks and places of interest
Icehouse,Leisure/Recreation,Indoor Recreation Facility,-37.8121881194053,144.935684018873,City of Melbourne - Landmarks and places of interest
Carlton Baths,Leisure/Recreation,Indoor Recreation Facility,-37.7934377042609,144.971696548624,City of Melbourne - Landmarks and places of interest
Dallas Brooks Centre,Place Of Assembly,Function/Conference/Exhibition Centre,-37.8097374138234,144.981383411592,City of Melbourne - Landmarks and places of interest
Flemington Racecourse,Leisure/Recreation,Major Sports & Recreation Facility,-37.7908082646624,144.912142987372,City of Melbourne - Landmarks and places of interest
Treasury Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8143993575938,144.975952335785,City of Melbourne - Landmarks and places of interest
Melbourne Cricket Ground (MCG),Leisure/Recreation,Major Sports & Recreation Facility,-37.8194921618419,144.983402879078,City of Melbourne - Landmarks and places of interest
Queen Victoria Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8216381244891,144.971049530478,City of Melbourne - Landmarks and places of interest
New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),-37.8152178789077,144.941617889032,City of Melbourne - Landmarks and places of interest
New Quay Marina,Transport,Marina,-37.8152925454954,144.942283726231,City of Melbourne - Landmarks and places of interest
Rod Laver Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.8220456119807,144.978487173787,City of Melbourne - Landmarks and places of interest
Melbourne Park,Leisure/Recreation,Major Sports & Recreation Facility,-37.8209085970021,144.978735802793,City of Melbourne - Landmarks and places of interest
Hisense Arena,Leisure/Recreation,Major Sports & Recreation Facility,-37.823110002667,144.981834802535,City of Melbourne - Landmarks and places of interest
Melbourne Museum,Place Of Assembly,Art Gallery/Museum,-37.8035518129299,144.971690718887,City of Melbourne - Landmarks and places of interest
Elisabeth Murdoch Hall,Community Use,Public Buildings,-37.8239733704282,144.967450979234,City of Melbourne - Landmarks and places of interest
